Router Name,Country Code,Bandwidth (KB/s),Uptime (Days),IP Address,Hostname,ORPort,DirPort,Flag - Authority,Flag - Exit,Flag - Fast,Flag - Guard,Flag - Named,Flag - Stable,Flag - Running,Flag - Valid,Flag - V2Dir,Platform,Flag - Hibernating,Flag - Bad Exit
arteknovgnet,RU,84,8,93.81.251.34,a4k2.static.corbina.ru,9001,9030,0,1,1,0,1,1,1,1,1,Tor 0.2.1.26 on Linux x86_64,0,0
ASE,DE,0,0,91.89.81.38,HSI-KBW-091-089-081-038.hsi2.kabelbw.de,444,9030,0,1,1,0,1,0,1,1,1,Tor 0.2.1.21 on Windows XP Service Pack 3 [workstation] {terminal services- single user},0,0
aserver0090,US,2,63,209.59.209.188,turbowutz.dyndns.org,9001,None,0,0,1,0,1,1,1,1,0,Tor 0.2.1.26 on Linux i686,0,0
askatasuna,US,13,4,216.195.133.27,mail.tifaware.com,9001,None,0,0,1,1,1,1,1,1,0,Tor 0.2.1.26 on Linux x86_64,0,0
AsseGoesWild,SE,7679,2,77.110.39.77,mail.ellerot.se,9001,None,0,1,1,0,0,0,1,1,0,Tor 0.2.1.26 on Linux x86_64,0,0
astoriednepelyn,US,6,27,205.134.215.52,dsl-205-134-215-52.lacey-1.reachoneinternet.net,443,None,0,0,1,0,0,1,1,1,0,Tor 0.2.1.26 on Linux x86_64,0,0
atacama,GB,83,68,212.13.194.142,tor-exit.88.net,443,None,0,0,1,1,1,1,1,1,0,Tor 0.2.1.26 on Linux i686,0,0
Athonild,US,4,11,70.85.129.120,ezrol.com,11021,None,0,0,1,0,1,1,1,1,0,Tor 0.2.1.22 on Linux i686,0,0
AtistarOutpost,US,2,247,67.102.179.29,outpost.atistar.net,443,None,0,0,1,0,1,1,1,1,0,Tor 0.2.1.22 on Linux i686,0,0
atlantator,US,1,1,98.252.207.248,c-98-252-207-248.hsd1.ga.comcast.net,443,None,0,0,1,0,1,0,1,1,0,Tor 0.2.1.20 on Windows 'Longhorn' Service Pack 2 [workstation] {personal} {terminal services- single user},0,0
atlgonyovLi,US,714,144,216.24.174.245,edebris.com,9001,9030,0,0,1,1,1,1,1,1,1,Tor 0.2.1.26 on Linux x86_64,0,0
atmosphere,FR,2,0,88.176.172.244,crr06-5-88-176-172-244.fbx.proxad.net,9001,9030,0,0,1,0,1,0,1,1,1,Tor 0.2.2.14-alpha (git-06a79233c57393bc) on Linux i686,0,0
Atomik,RU,0,0,79.120.46.131,ppp-131-246.utech.ru,443,9030,0,1,1,0,1,0,1,1,1,Tor 0.2.1.26 on Very recent version of Windows [major=6-minor=1]  [workstation] {terminal services- single user},0,0
atoz,DE,179,5,88.198.16.100,atoz.catbull.com,9001,9030,0,0,1,1,1,1,1,1,1,Tor 0.2.1.26 on Linux x86_64,0,0
attnjupiter,AT,14,16,80.120.3.101,tunnel2.gibraltar.at,9001,9030,0,0,1,1,1,1,1,1,1,Tor 0.2.0.35 on Linux x86_64,0,0
auebtor,GR,951,3,195.251.252.226,aigaio.islab.aueb.gr,80,None,0,0,1,0,1,1,1,1,0,Tor 0.2.1.26 on Linux x86_64,0,0
auk,US,193,10,204.13.164.27,auk.riseup.net,9001,None,0,0,1,1,1,1,1,1,0,Tor 0.2.1.26 on Linux i686,0,0
aurora,US,141,40,174.34.146.248,tor.ithought.org,443,9030,0,0,1,1,1,1,1,1,1,Tor 0.2.1.26 on Linux x86_64,0,0
Avalanche,US,212,21,174.36.23.239,tor.clanhdz.com,8120,9030,0,0,1,1,1,1,1,1,1,Tor 0.2.1.25 on Windows 'Longhorn' Service Pack 2 [server] {'blade' (2003- web edition)} {terminal services- single user} {terminal services},0,0
axxsdotorg,DE,99,3,78.46.70.204,axxs.org,9001,None,0,0,1,1,1,1,1,1,0,Tor 0.2.1.26 on Linux x86_64,0,0
AyoAyo,FR,1,0,90.19.1.48,AOrleans-257-1-20-48.w90-19.abo.wanadoo.fr,9030,None,0,1,1,0,1,0,1,1,0,Tor 0.2.1.26 on Windows 'Longhorn' Service Pack 2 [workstation] {personal} {terminal services- single user},0,0
Ayobayo,NL,1,0,83.247.37.62,dsl-083-247-037-062.solcon.nl,9001,None,0,0,1,0,1,0,1,1,0,Tor 0.2.1.26 on Linux x86_64,0,0
Azhar,PL,13,2,81.190.201.219,host-81-190-201-219.gorzow.mm.pl,443,None,0,1,1,1,0,1,1,1,0,Tor 0.2.2.15-alpha (git-eba3f37f17a2af4f) on Linux x86_64,0,0
b0b3r,PL,520,6,195.191.233.202,tor.b0b3r.pl,443,80,0,1,1,1,1,1,1,1,1,Tor 0.2.1.26 on Linux x86_64,0,0
baajae3eet,AT,16,31,195.202.181.58,h195202181058.med.cm.kabsi.at,9001,None,0,0,1,0,1,1,1,1,0,Tor 0.2.1.26 on Linux i586,0,0
